nome,votos,hora,apurado,proporcao
JAIR BOLSONARO,48.84,18:14:37,4.9,239.31600000000003
LULA,42.1,18:14:37,4.9,206.29
SIMONE TEBET,4.72,18:14:37,4.9,23.128
CIRO GOMES,3.17,18:14:37,4.9,15.533
FELIPE D&apos;AVILA,0.49,18:14:37,4.9,2.401
SORAYA THRONICKE,0.48,18:14:37,4.9,2.352
PADRE KELMON,0.08,18:14:37,4.9,0.392
SOFIA MANZANO,0.04,18:14:37,4.9,0.196
LÉO PÉRICLES,0.04,18:14:37,4.9,0.196
VERA,0.03,18:14:37,4.9,0.147
CONSTITUINTE EYMAEL,0.02,18:14:37,4.9,0.098
JAIR BOLSONARO,48.84,18:14:37,4.9,239.31600000000003
LULA,42.1,18:14:37,4.9,206.29
SIMONE TEBET,4.72,18:14:37,4.9,23.128
CIRO GOMES,3.17,18:14:37,4.9,15.533
FELIPE D&apos;AVILA,0.49,18:14:37,4.9,2.401
SORAYA THRONICKE,0.48,18:14:37,4.9,2.352
PADRE KELMON,0.08,18:14:37,4.9,0.392
SOFIA MANZANO,0.04,18:14:37,4.9,0.196
LÉO PÉRICLES,0.04,18:14:37,4.9,0.196
VERA,0.03,18:14:37,4.9,0.147
CONSTITUINTE EYMAEL,0.02,18:14:37,4.9,0.098
JAIR BOLSONARO,48.84,18:14:37,4.9,239.31600000000003
LULA,42.1,18:14:37,4.9,206.29
SIMONE TEBET,4.72,18:14:37,4.9,23.128
CIRO GOMES,3.17,18:14:37,4.9,15.533
FELIPE D&apos;AVILA,0.49,18:14:37,4.9,2.401
SORAYA THRONICKE,0.48,18:14:37,4.9,2.352
PADRE KELMON,0.08,18:14:37,4.9,0.392
SOFIA MANZANO,0.04,18:14:37,4.9,0.196
LÉO PÉRICLES,0.04,18:14:37,4.9,0.196
VERA,0.03,18:14:37,4.9,0.147
CONSTITUINTE EYMAEL,0.02,18:14:37,4.9,0.098
JAIR BOLSONARO,48.8,18:22:17,5.42,264.496
LULA,42.18,18:22:17,5.42,228.6156
SIMONE TEBET,4.7,18:22:17,5.42,25.474
CIRO GOMES,3.15,18:22:17,5.42,17.073
FELIPE D&apos;AVILA,0.49,18:22:17,5.42,2.6558
SORAYA THRONICKE,0.48,18:22:17,5.42,2.6016
PADRE KELMON,0.08,18:22:17,5.42,0.4336
SOFIA MANZANO,0.04,18:22:17,5.42,0.2168
LÉO PÉRICLES,0.04,18:22:17,5.42,0.2168
VERA,0.03,18:22:17,5.42,0.1626
CONSTITUINTE EYMAEL,0.02,18:22:17,5.42,0.1084
JAIR BOLSONARO,48.76,18:24:53,6.77,330.1052
LULA,42.32,18:24:53,6.77,286.5064
SIMONE TEBET,4.66,18:24:53,6.77,31.5482
CIRO GOMES,3.11,18:24:53,6.77,21.0547
FELIPE D&apos;AVILA,0.48,18:24:53,6.77,3.2496
SORAYA THRONICKE,0.48,18:24:53,6.77,3.2496
PADRE KELMON,0.07,18:24:53,6.77,0.4739
SOFIA MANZANO,0.04,18:24:53,6.77,0.2708
LÉO PÉRICLES,0.04,18:24:53,6.77,0.2708
VERA,0.02,18:24:53,6.77,0.1354
CONSTITUINTE EYMAEL,0.02,18:24:53,6.77,0.1354
JAIR BOLSONARO,48.51,18:28:30,8.1,392.931
LULA,42.64,18:28:30,8.1,345.384
SIMONE TEBET,4.61,18:28:30,8.1,37.341
CIRO GOMES,3.09,18:28:30,8.1,25.029
SORAYA THRONICKE,0.48,18:28:30,8.1,3.888
FELIPE D&apos;AVILA,0.48,18:28:30,8.1,3.888
PADRE KELMON,0.07,18:28:30,8.1,0.5670000000000001
SOFIA MANZANO,0.04,18:28:30,8.1,0.324
LÉO PÉRICLES,0.04,18:28:30,8.1,0.324
VERA,0.02,18:28:30,8.1,0.162
CONSTITUINTE EYMAEL,0.02,18:28:30,8.1,0.162
JAIR BOLSONARO,48.33,18:34:46,11.0,531.63
LULA,42.93,18:34:46,11.0,472.23
SIMONE TEBET,4.55,18:34:46,11.0,50.05
CIRO GOMES,3.06,18:34:46,11.0,33.660000000000004
SORAYA THRONICKE,0.48,18:34:46,11.0,5.279999999999999
FELIPE D&apos;AVILA,0.47,18:34:46,11.0,5.17
PADRE KELMON,0.07,18:34:46,11.0,0.77
LÉO PÉRICLES,0.04,18:34:46,11.0,0.44
SOFIA MANZANO,0.04,18:34:46,11.0,0.44
VERA,0.02,18:34:46,11.0,0.22
CONSTITUINTE EYMAEL,0.02,18:34:46,11.0,0.22
JAIR BOLSONARO,48.04,18:39:25,13.2,634.1279999999999
LULA,43.23,18:39:25,13.2,570.636
SIMONE TEBET,4.53,18:39:25,13.2,59.796
CIRO GOMES,3.06,18:39:25,13.2,40.392
SORAYA THRONICKE,0.49,18:39:25,13.2,6.468
FELIPE D&apos;AVILA,0.47,18:39:25,13.2,6.204
PADRE KELMON,0.07,18:39:25,13.2,0.924
LÉO PÉRICLES,0.04,18:39:25,13.2,0.528
SOFIA MANZANO,0.04,18:39:25,13.2,0.528
VERA,0.02,18:39:25,13.2,0.264
CONSTITUINTE EYMAEL,0.02,18:39:25,13.2,0.264
JAIR BOLSONARO,48.04,18:39:25,13.2,634.1279999999999
LULA,43.23,18:39:25,13.2,570.636
SIMONE TEBET,4.53,18:39:25,13.2,59.796
CIRO GOMES,3.06,18:39:25,13.2,40.392
SORAYA THRONICKE,0.49,18:39:25,13.2,6.468
FELIPE D&apos;AVILA,0.47,18:39:25,13.2,6.204
PADRE KELMON,0.07,18:39:25,13.2,0.924
LÉO PÉRICLES,0.04,18:39:25,13.2,0.528
SOFIA MANZANO,0.04,18:39:25,13.2,0.528
VERA,0.02,18:39:25,13.2,0.264
CONSTITUINTE EYMAEL,0.02,18:39:25,13.2,0.264
JAIR BOLSONARO,47.91,18:44:50,16.16,774.2256
LULA,43.36,18:44:50,16.16,700.6976
SIMONE TEBET,4.52,18:44:50,16.16,73.0432
CIRO GOMES,3.05,18:44:50,16.16,49.288
